=== Exp1: Initial Schedule (t=0) ===
job_id,completion_Cj,due_date_dj,earliness_Ej,tardiness_Tj,penalty
J1,36.0,40.0,4.0,0.0,0.0
J2,53.0,72.0,19.0,0.0,0.0
J3,70.0,72.0,2.0,0.0,2.0

total_penalty,2.0
total_active_lead_time,145.0

job_id,op_idx,machine,service_unit,start_time,end_time,duration,status
J1,1,M1_U1,U1,0.0,10.0,10.0,planned
J1,2,M2_U1,U1,10.0,22.0,12.0,planned
J1,3,M1_U1,U1,22.0,36.0,14.0,planned
J2,1,M1_U2,U2,0.0,14.0,14.0,planned
J2,2,M2_U2,U2,14.0,36.0,22.0,planned
J2,3,M1_U1,U1,38.0,53.0,15.0,planned
J3,1,M1_U2,U2,14.0,32.0,18.0,planned
J3,2,M2_U1,U1,34.0,58.0,24.0,planned
J3,3,M1_U1,U1,58.0,70.0,12.0,planned

=== Exp1: After J4 Insertion (t=24) ===
job_id,completion_Cj,due_date_dj,earliness_Ej,tardiness_Tj,penalty
J1,36.0,40.0,4.0,0.0,0.0
J2,56.0,72.0,16.0,0.0,0.0
J3,68.0,72.0,4.0,0.0,4.0
J4,96.0,96.0,0.0,0.0,0.0

total_penalty,4.0
total_active_lead_time,194.0

job_id,op_idx,machine,service_unit,start_time,end_time,duration,status
J1,1,M1_U1,U1,0.0,10.0,10.0,FIXED
J1,2,M2_U1,U1,10.0,22.0,12.0,FIXED
J1,3,M1_U1,U1,22.0,36.0,14.0,FIXED
J2,1,M1_U2,U2,0.0,14.0,14.0,FIXED
J2,2,M2_U2,U2,14.0,36.0,22.0,FIXED
J2,3,M1_U1,U1,41.0,56.0,15.0,planned
J3,1,M1_U2,U2,14.0,32.0,18.0,FIXED
J3,2,M2_U1,U1,32.0,56.0,24.0,planned
J3,3,M1_U1,U1,56.0,68.0,12.0,planned
J4,1,M3_U1,U1,48.0,60.0,12.0,planned
J4,2,M1_U2,U2,62.0,74.0,12.0,planned
J4,3,M2_U2,U2,80.0,96.0,16.0,planned

=== Exp2: After M1_U2 Disruption (t=60) ===
job_id,completion_Cj,due_date_dj,earliness_Ej,tardiness_Tj,penalty
J1,36.0,40.0,4.0,0.0,0.0
J2,56.0,72.0,16.0,0.0,0.0
J3,88.0,72.0,0.0,16.0,48.0
J4,96.0,96.0,0.0,0.0,0.0

total_penalty,48.0
total_active_lead_time,214.0

job_id,op_idx,machine,service_unit,start_time,end_time,duration,status
J1,1,M1_U1,U1,0.0,10.0,10.0,FIXED
J1,2,M2_U1,U1,10.0,22.0,12.0,FIXED
J1,3,M1_U1,U1,22.0,36.0,14.0,FIXED
J2,1,M1_U2,U2,0.0,14.0,14.0,FIXED
J2,2,M2_U2,U2,14.0,36.0,22.0,FIXED
J2,3,M1_U1,U1,41.0,56.0,15.0,FIXED
J3,1,M1_U2,U2,14.0,32.0,18.0,FIXED
J3,2,M2_U1,U1,32.0,56.0,24.0,FIXED
J3,3,M1_U2,U2,56.0,88.0,32.0,planned
J4,1,M3_U1,U1,48.0,60.0,12.0,FIXED
J4,2,M1_U1,U1,60.0,80.0,20.0,planned
J4,3,M2_U1,U1,80.0,96.0,16.0,planned

